id,name,address,
32,大手町デンタルクリニック,千代田区大手町１−５−１大手町ファーストスクエアウエストタワー１階,
33,医療法人社団東杏会 山王グランドビル歯科,千代田区永田町２−１４−２山王グランドビルＢ１Ｆ,
34,新大手町ビル歯科医院,千代田区大手町２−２−１新大手町ビル,
35,東京サンケイビル中村歯科医院,千代田区大手町１−７−２東京サンケイビルＢ１Ｆ,
36,人事労政部健康推進室本社診療所歯科,千代田区丸の内２−６−１丸の内パークビルディング９Ｆ　日本製鉄株式会社,
37,松尾歯科医院,千代田区永田町２−１１−１山王パークタワー２５Ｆ,
38,医療法人社団市橋会 市橋デンタルクリニック,千代田区丸の内３−３−１新東京ビルＢ１Ｆ,
39,吉田歯科医院,千代田区霞が関３−２−５霞が関ビル３Ｆ,
40,青木歯科医院,千代田区有楽町１−６−１０スクワール日比谷ビル７Ｆ,
41,大手町朝日歯科,千代田区大手町１−８−１ＫＤＤＩ大手町ビル１Ｆ,
42,Otemachi One Dental Office,千代田区大手町１−２−１Otemachi One Ｂ１,
43,一般財団法人 松翁会歯科診療所,千代田区大手町１−５ー５大手町タワー地下一階,
44,井上歯科医院,千代田区丸の内３−４−２新日石ビル９Ｆ,
45,大手町フィナンシャルシティ境デンタルクリニック,千代田区大手町１−９−４大手町フィナンシャルシティ ノースタワー４Ｆ,
46,野口デンタルクリニック,千代田区丸の内１−４−５三菱ＵＦＪ信託銀行本店ビル１Ｆ１０５区,
47,岸本ビル歯科,千代田区丸の内２−２−１岸本ビル２Ｆ,
48,小林歯科,千代田区内幸町１−１−７ＮＢＦ日比谷ビルアネックス２Ｆ,
49,有楽町ビル岡デンタルクリニック,千代田区有楽町１−１０−１有楽町ビル４Ｆ,
50,医療法人社団徳新会 国際ビル歯科,千代田区丸の内３−１−１国際ビルＢ１Ｆ,
51,山口歯科室,千代田区霞が関３−２−５霞が関ビル３Ｆ３０６,
52,新丸ビル１０階歯科,千代田区丸の内１−５−１新丸の内ビルディング１０Ｆ１０１０区,
53,丸の内センタービル歯科,千代田区丸の内１−６−１丸ノ内センタービル１Ｆ,
54,藤野歯科医院,千代田区丸の内１−５−１新丸の内ビルディング１１Ｆ,
55,医療法人社団有秀会 名執歯科,千代田区内幸町１−１−１帝国ホテルタワー５Ｃ−４,
56,有楽町電気ビル高橋歯科,千代田区有楽町１−７−１有楽町電気ビル南館Ｂ１Ｆ,
57,バトラー歯科医院,千代田区丸の内２−４−１丸の内ビルディング１１Ｆ１１０４区,
58,高橋歯科医院,千代田区有楽町１−１２−１新有楽町ビルＢ１Ｆ,
59,丸の内歯科診療所,千代田区丸の内１−２−１東京海上日動ビル本館Ｂ１Ｆ,
60,新東京ビル歯科クリニック,千代田区丸の内３−３−１新東京ビル３３１,
61,番町オーラルサージャリーデンタルクリニック,千代田区二番町１１−２０二番町ビル２F,
62,花泉歯科医院,千代田区三番町７−２ヴィラロイヤル三番町１０１,
63,一番町矯正歯科,千代田区一番町８−１３日興ロイヤルパレス一番町　１Ｆ,
64,麹町えりデンタルクリニック,千代田区麹町３−７−８麹町山口ビル２０１,
65,半蔵門サニー歯科,千代田区一番町１９−１麹町サニーマンション１０９,
66,エスデンタルオフィス,千代田区九段南３−９−１４第３２荒井ビル１Ｆ,
67,医療法人社団峰瑛会 市ヶ谷番町歯科クリニック,千代田区五番町２横山ビル２F,
68,医療法人社団アークブレーンズ アーク歯科クリニック,千代田区五番町５−１第８田中ビル３F,
69,半蔵門ファミリア矯正歯科医院,千代田区麹町１−６−６プルミエ麹町ビル３Ｆ,
70,つげ歯科五番町クリニック,千代田区五番町６−４グレイス五番町ビル５０１号室,
71,デンタルサロン麹町,千代田区麹町２−４−２０鶴屋八幡ビル　２Ｆ,
72,日本歯科大学生命歯学部,千代田区富士見１−９−２０,
73,医療法人社団アークブレーンズ アーク歯科クリニック　番町オフィス,千代田区六番町１−５布江ビル１Ｆ,
74,医療法人社団 グリーンデンタルクリニック,千代田区五番町５−６ビラカーサ五番町１Ｆ,
75,熊谷歯科医院,千代田区九段南３−８−１３丸中ビル２Ｆ,
76,近藤歯科医院,千代田区九段南３−５−１４国総ビル１Ｆ,
77,平河町デンタルクリニック,千代田区平河町１−４−５平和第一ビル１Ｆ,
78,おくぞの歯科クリニック,千代田区平河町１−７−２０平河町辻田ビル１Ｆ,
79,歯科 矢田クリニック,千代田区二番町１１−９花ビル１Ｆ,
80,医療法人社団楽歯会 設楽歯科医院,千代田区麹町４−３−４宮ビル１Ｆ,
81,川名歯科,千代田区麹町２−１２−６ミツリ麹町ビル１Ｆ,
82,上條歯科医院,千代田区麹町３−４−７啓ビル８Ｆ,
83,飯田橋歯科クリニック,千代田区飯田橋４−５−１６飯田橋コアビル３Ｆ,
84,加島歯科医院,千代田区飯田橋２−４−１０加島ビル１Ｆ,
85,六川歯科医院,千代田区飯田橋１−１０−１六川ビル２Ｆ,
86,クボタデンタルオフィス,千代田区麹町２−６−５ＥＣＫビル７Ｆ,
87,掛田歯科医院,千代田区九段北１−４−５東英九段ビル４Ｆ,
88,岡口歯科クリニック,千代田区麹町２−１２−１グランアクス麹町２０１,
89,佐々木歯科医院,千代田区麹町４−４−６麹町４丁目小倉ビル７Ｆ,
90,九段北歯科,千代田区九段北４−１−５市ヶ谷法曹ビルＢ１,
91,まさる歯科,千代田区一番町９−７村上ビル,
92,九段セントラルビル歯科,千代田区飯田橋２−１−４九段セントラルビル９Ｆ,
93,大野歯科医院,千代田区九段南４−７−１６市ケ谷ＫＴビル２Ｆ,
94,米澤歯科,千代田区平河町１−８−９半蔵門ＫＰビル２Ｆ,
95,医療法人社団アイ・ケイ会 武田歯科医院,千代田区紀尾井町３−１２紀尾井町ビル２Ｆ Ｅ号,
96,医療法人社団恒成会 石塚歯科クリニック,千代田区麹町１−７,
97,愛知歯科医院,千代田区三番町６−２６住友不動産三番町ビル,
98,土屋歯科クリニック＆ワークス,千代田区平河町１−４−１２三信平河町ビル１Ｆ,
99,医療法人社団慧諒会 河野歯科医院,千代田区一番町１０−２一番町Ｍビル１Ｆ,
100,日本歯科大学,千代田区富士見１−９−２０,
101,清遠歯科医院,千代田区平河町１−２−１２シェーン平河町ビル１Ｆ,
102,プラスデントクリニック,千代田区隼町２−１２藤和半蔵門コ−プ２０４,
103,小林歯科クリニック,千代田区四番町８東郷パークビル５Ｆ,
104,市ヶ谷歯科クリニック,千代田区九段南４−８−２７重盛ビル,
105,麹町共栄歯科,千代田区麹町６−２麹町六丁目ビル三階,
106,関谷歯科医院,千代田区麹町４−４山崎ビル１Ｆ,
107,半蔵門歯科医院,千代田区麹町１−１０麹町広洋ビル２Ｆ,
108,こいで歯科医院,千代田区平河町１−７−１６ビュロー平河町１０２,
109,千代田歯科医院,千代田区麹町１−３ダイヤン麹町ビルB１F,
110,南部歯科医院,千代田区富士見２−６−９雄山閣ビル,
111,福田矯正歯科,千代田区二番町９−１０タワー麹町２Ｆ,
112,医療法人社団ＮＤＯ 初谷歯科医院,千代田区麹町５−３−１４ヒルトップハウス,
113,山田清歯科医院,千代田区九段北１−１２−４トクミヤビル１Ｆ,
114,医療法人社団聖会 大串歯科医院,千代田区二番町５麹町駅プラザ２階,
115,国光歯科医院,千代田区九段南３−５−２九段下宝タワービル２Ｆ,
116,加藤歯科医院,千代田区九段南４−８−３３サウサリート九段,
117,西脇ビル歯科,千代田区麹町４−１−４西脇ビル２Ｆ,
118,堀歯科医院,千代田区麹町６−２−１麹町サイトビル２Ｆ,
119,加部歯科医院,千代田区九段北１−２−１九段中央ビル２Ｆ,
120,榎本歯科医院,千代田区麹町２−７榎本ビル２階,
121,大山歯科,千代田区紀尾井町４−１ホテルニューオータニ内,
122,歯科松江医院,千代田区飯田橋４−５−１３杉山ビル２Ｆ,
123,井上歯科医院,千代田区富士見１−３−１２,
124,ユタカ歯科　（寄留）,千代田区九段北１−３−１ＰＵビル２Ｆ（寄留）,
125,小林歯科医院,千代田区富士見２−３−１信幸ビル４Ｆ,
126,田中歯科医院,千代田区九段南４−３−７,
127,医療法人社団　慶英会 湯島駅前矯正歯科,千代田区外神田６−８−１ UYビル １F,
128,御茶ノ水プライムデンタル,千代田区神田駿河台３−１−２ヒューリックレジデンス新御茶ノ水１F,
129,神保町タワー歯科,千代田区神田神保町１−１０３−１０６東京パークタワー,
130,医療法人社団 信修会 小山歯科クリニック,千代田区神田駿河台４−５−３穂高ビル３階,
131,KAZ矯正歯科,千代田区神田神保町２−９神田神保町メディカルモール２Ｆ,
132,神保町矯正歯科クリニック,千代田区神田神保町１−１０−１ＩＶＹビル３階,
133,飯田歯科医院,千代田区神田須田町１−２２大久保ビル １Ｆ,
134,医療法人社団笑和会 ホワイトエッセンス御茶ノ水デンタル,千代田区神田駿河台３−１１−１三井住友海上駿河台新館地下１Ｆ,
135,秋葉原矯正歯科,千代田区神田佐久間町３−３５２Ｆ,
136,大曽根歯科医院,千代田区三崎町２−１９−９大曽根ビル２Ｆ,
137,有楽町デンタルオフィス,千代田区有楽町１−７−１有楽町電気ビル北館３０４区,
138,医療法人社団　賢優会 伊藤歯科医院,千代田区外神田５−４−８,
139,神田橋デンタルオフィス,千代田区内神田１−２−２小川ビル１Ｆ,
140,医療法人社団聖歯会 木本歯科,千代田区神田駿河台２−９−１８萬水ビル２Ｆ,
141,デンタルオフィス聖橋,千代田区外神田２−１８−３第２昭和ビル１Ｆ,
142,ふくだ歯科医院,千代田区外神田４−７−２小林ビル２Ｆ,
143,伊東歯科医院,千代田区西神田２−７−９糸賀ビル２Ｆ,
144,医療法人立誠会 岡村デンタルクリニック,千代田区神田神保町３−２サンライトビル２Ｆ,
145,すずき歯科医院,千代田区神田松永町１０長谷川ビル３０２,
146,はる歯科クリニック,千代田区神田小川町２−１２信愛ビル１F,
147,医療法人社団ニコライ会 杏雲ビル歯科,千代田区神田駿河台２−２御茶の水杏雲ビル１Ｆ,
148,神田デンタルオフィス,千代田区内神田２−８−１４高橋ビル３Ｆ,
149,島田デンタルクリニック,千代田区神田須田町１−４Ｙ１０１ビル３Ｆ,
150,坂本矯正歯科クリニック,千代田区神田駿河台３−６−１菱和ビル１F,
151,鎌倉橋歯科医院,千代田区内神田２−２−５光正ビル２Ｆ,
152,塚原デンタルクリニック,千代田区神田小川町１−８小川町クレストビル３Ｆ,
153,依田歯科医院,千代田区内神田１−１７−１橋本ビル２Ｆ,
154,神保町デンタルクリニック,千代田区神田神保町２−２神田ビル２Ｆ,
155,酒匂歯科,千代田区内神田３−４−１３ＯＫ内神田ビル３Ｆ,
156,三輪歯科医院,千代田区神田錦町１−１４,
157,松本歯科クリニック,千代田区神田鍛冶町２−９−１７柴崎ビル２Ｆ,
158,上條歯科医院,千代田区岩本町３−７−１６マルメビル２階,
159,医療法人すみれ会 野本歯科医院,千代田区神田神保町２−１９−１リーガルタワー神保町１Ｆ,
160,安井歯科医院,千代田区神田駿河台２−２−５井口ビル３Ｆ,
161,かい歯科医院,千代田区三崎町３−４−２Ｊ・ＳＱＵＡＲＥ水道橋ビル２Ｆ,
162,神田小川町歯科クリニック,千代田区神田小川町２−２−７レインボービル３Ｆ,
163,小要歯科医院,千代田区東神田１−５−８,
164,水道橋吉田歯科医院,千代田区西神田２−５−６中西ビル１Ｆ,
165,伊藤歯科医院,千代田区外神田６−１６−６,
166,神田歯科医院,千代田区鍛冶町２−２−９第２登栄ビル３Ｆ,
167,伊藤デンタルクリニック,千代田区内神田２−１１−４内神田金子ビル２Ｆ,
168,島田歯科医院,千代田区内神田３−１９−１０ソシアルビル１Ｆ,
169,のじま歯科医院,千代田区神田花岡町１−１ヨドバシＡＫＩＢＡビル２Ｆ,
170,小川歯科クリニック,千代田区神田美土代町１１−１２ニチヨビル,
171,村田歯科医院,千代田区神田小川町１−７神田小川町ハイツ１Ｆ,
172,山本歯科医院,千代田区神田須田町１−３−３,
173,加賀山歯科医院,千代田区神田東松下町１８高正ビル２Ｆ,
174,外神田歯科,千代田区外神田６−３−８外神田田島ビル２F,
175,相川歯科医院,千代田区神田須田町１−１０−１Ｙ・Ｓ須田町ビル７Ｆ,
176,ホワイトエッセンス御茶ノ水デンタルクリニック,千代田区神田駿河台３−１１−１,
177,今村歯科医院,千代田区神田神保町２−３８岩田ビル,
178,山下歯科医院,千代田区神田錦町３−１８−１０浜田ビル　２Ｆ,
179,黒岩歯科,千代田区神田神保町２−２４神保町ＫＮビル,
180,武内歯科医院,千代田区神田小川町３−１−２,
181,小谷歯科医院,千代田区内神田１−１７−８内神田ビル１Ｆ,
182,原田歯科クリニック,千代田区神田和泉町１−１−１３蓼沼ビル２Ｆ,
183,内山歯科医院,千代田区神田須田町１−２６ラシーヌ神田ビル３Ｆ,
184,西崎歯科医院,千代田区神田錦町３−１９中沢ビル,
185,田辺歯科クリニック,千代田区三崎町２−２１−１０渡辺ビル,
186,小泉歯科,千代田区猿楽町１−２−４富田屋ビル２Ｆ,
187,小田島歯科クリニック,千代田区外神田５−２−２セイキ第一ビル１Ｆ,
188,福山歯科医院,千代田区外神田１−１５−１５福山会館ビル３Ｆ,
189,医療法人社団田村会 田村歯科医院,千代田区神田錦町３−２２ー２,
190,久保村歯科医院,千代田区外神田２−２−３京須ビル,
191,加賀山歯科医院,千代田区神田神保町１−９稲垣ビル５Ｆ,
192,桐野歯科,千代田区外神田２−８−１２川崎ビル１Ｆ,
193,神田駅前平野歯科クリニック,千代田区鍛冶町２−７−１神田ＩＫビル２Ｆ,
194,臼田歯科医院,千代田区神田小川町３−２サニービル３Ｆ,
195,お茶の水　保富歯科医院,千代田区神田小川町３−２小川町KSビル　２階,
196,ノグチ歯科医院,千代田区神田神保町１−４１−１三省堂第２ビル３Ｆ,
197,医療法人社団　陽成会 千代田歯科クリニック,千代田区神田錦町２−１−５マストライフ神田錦町１０１号,
198,吉岡歯科医院,千代田区内神田３−８−５吉岡歯科ビルディング,
199,船曳歯科医院,千代田区神田淡路町２−４ユニオンビル,
200,高橋歯科医院,千代田区神田神保町３−１７ヨシダＦＧビル１Ｆ,
201,橋本歯科医院,千代田区岩本町１−９−１アイアンビル２Ｆ,
202,医療法人智正会 中川歯科クリニック,千代田区神田和泉町１−３−４青木ビル２Ｆ,
203,小柳歯科医院,千代田区神田平河町４渡辺ビル,
204,吉井歯科医院,千代田区外神田３−１０−１２,
205,ワタトウ歯科医院,千代田区岩本町１−１−９,
206,末森歯科医院,千代田区岩本町２−８−１０神田永谷マンション４０１,
207,山田歯科医院,千代田区神田須田町１−１７,
208,医療法人社団 救歯会 黒田歯科医院,千代田区内神田３−５−５大同ビル７Ｆ,
209,神田Ａ＆Ｍデンタルクリニック,千代田区内神田３−１３−２松尾ビル４Ｆ,
210,大井歯科,千代田区神田和泉町１−２−３エクシト秋葉原　１F,
211,大塚歯科医院,千代田区神田岩本町１坂田ビル２Ｆ,
212,医療法人社団雄志会 渡辺歯科医院,千代田区鍛冶町１−８−２スズトミビル６Ｆ,
213,吉田歯科医院,千代田区内神田３−１０−１大木ビル３Ｆ,
214,佐藤歯科医院,千代田区鍛冶町１−８−１ＳＲビル４Ｆ,
215,山本歯科,千代田区神田多町２−３不動商事ビル５Ｆ,
216,五十嵐歯科医院,千代田区神田紺屋町４３紺屋町共同ビル２Ｆ,
217,滝川歯科クリニック,千代田区神田美土代町１１−６イーグルハウス１Ｆ,
218,医療法人社団 霞会 波岡歯科（寄留）,千代田区神田駿河台３−３−５小林ビル１Ｆ（寄留）,
219,藤林歯科医院,千代田区内神田２−８−１浅井ビル,
220,花泉歯科医院,東京都千代田区三番町7-2-101,
221,日本歯科大学附属病院,千代田区富士見２−３−１６,
222,東京歯科大学,千代田区神田三崎町２−９−１８,
223,学校法人東京歯科大学 東京歯科大学水道橋病院,千代田区三崎町２−９−１８ ＴＤＣビル６Ｆ,
224,日本大学歯学部,千代田区神田駿河台１−８−１３,
225,日本大学歯学部法医学講座,千代田区神田駿河台１−８,
226,日本歯科大学生命歯学部,千代田区富士見１−９−２０,
227,東京歯科大学,千代田区三崎町２−９−１８,
228,日本大学歯学部,千代田区神田駿河台１−８−１３ １号館４１０,
229,日本大学歯学部医療人間科学教室,千代田区神田駿河台1-8-13,
230,日本歯科大学生命歯学部,千代田区富士見1-9-20,
231,日本歯科大学生命歯学部,千代田区富士見１−９−２０,
232,日本歯科大学,千代田区富士見２−３−１６,
233,日本大学歯学部,千代田区神田駿河台1-8-13,
234,日本大学歯学部,千代田区神田駿河台1-8-13,
235,医療法人財団益習会 赤坂歯科診療所,千代田区平河町２−６−３都道府県会館内,
236,２in１デンタルクリニック,千代田区飯田橋３−９−３ＳＫプラザ１Ｆ,
237,アール・デンタル・オフィス,千代田区神田駿河台２−１−７ノアーズアークお茶の水５Ｆ,
238,医療法人愛育会 大手町ビル歯科,千代田区大手町１−６−１大手町ビル１Ｆ,
239,海上ビルデンタルクリニック,千代田区丸の内１−２−１東京海上日動ビル新館３１０号,
240,三菱UFJ銀行健康センター（本館）歯科,千代田区丸の内２−７−１三菱UFJ銀行丸の内本館２２F,
241,医療法人社団親光会 パレスサイドビル歯科,千代田区一ツ橋１−１−１,
242,医療法人社団浩昭会 丸の内永楽ビル歯科クリニック,千代田区丸の内１−４−１丸の内永楽ビルB1,
243,医療法人社団浩昭会 パシフィックセンチュリープレイス丸の内デンタルクリニック,千代田区丸の内１−１１−１パシフィックセンチュリープレイス丸の内２０３,
244,第一生命日比谷診療所歯科,千代田区有楽町１−１３−１本館２階,
245,医療法人社団 近藤歯科医院,千代田区大手町１−３−２大手町カンファレンスセンターＢ１Ｆ,
246,医療法人社団東杏会 丸ビル歯科,千代田区丸の内２−４−１丸の内ビルディング１１Ｆ１１０１区,
247,医療法人社団協立歯科 協立歯科クリニーク デュボワ,千代田区内幸町１−１−１帝国ホテルプラザ４Ｆ,
248,医療法人社団日瑞会 長谷川歯科医院,千代田区内幸町１−２−２日比谷ダイビル２F,
249,古市歯科医院,千代田区永田町２−１１−１山王パ−クタワ−２５１４区,
250,酒井歯科,千代田区有楽町２−１０−１東京交通会館３Ｆ,
251,大手町デンタルクリニック,千代田区大手町１−５−１大手町ファーストスクエアウエストタワー１階,
252,医療法人社団東杏会 山王グランドビル歯科,千代田区永田町２−１４−２山王グランドビルＢ１Ｆ,
253,新大手町ビル歯科医院,千代田区大手町２−２−１新大手町ビル,
254,東京サンケイビル中村歯科医院,千代田区大手町１−７−２東京サンケイビルＢ１Ｆ,
255,人事労政部健康推進室本社診療所歯科,千代田区丸の内２−６−１丸の内パークビルディング９Ｆ　日本製鉄株式会社,
256,松尾歯科医院,千代田区永田町２−１１−１山王パークタワー２５Ｆ,
257,医療法人社団市橋会 市橋デンタルクリニック,千代田区丸の内３−３−１新東京ビルＢ１Ｆ,
258,吉田歯科医院,千代田区霞が関３−２−５霞が関ビル３Ｆ,
259,青木歯科医院,千代田区有楽町１−６−１０スクワール日比谷ビル７Ｆ,
260,大手町朝日歯科,千代田区大手町１−８−１ＫＤＤＩ大手町ビル１Ｆ,
261,Otemachi One Dental Office,千代田区大手町１−２−１Otemachi One Ｂ１,
262,一般財団法人 松翁会歯科診療所,千代田区大手町１−５ー５大手町タワー地下一階,
263,井上歯科医院,千代田区丸の内３−４−２新日石ビル９Ｆ,
264,大手町フィナンシャルシティ境デンタルクリニック,千代田区大手町１−９−４大手町フィナンシャルシティ ノースタワー４Ｆ,
265,野口デンタルクリニック,千代田区丸の内１−４−５三菱ＵＦＪ信託銀行本店ビル１Ｆ１０５区,
266,岸本ビル歯科,千代田区丸の内２−２−１岸本ビル２Ｆ,
267,小林歯科,千代田区内幸町１−１−７ＮＢＦ日比谷ビルアネックス２Ｆ,
268,有楽町ビル岡デンタルクリニック,千代田区有楽町１−１０−１有楽町ビル４Ｆ,
269,医療法人社団徳新会 国際ビル歯科,千代田区丸の内３−１−１国際ビルＢ１Ｆ,
270,山口歯科室,千代田区霞が関３−２−５霞が関ビル３Ｆ３０６,
271,新丸ビル１０階歯科,千代田区丸の内１−５−１新丸の内ビルディング１０Ｆ１０１０区,
272,丸の内センタービル歯科,千代田区丸の内１−６−１丸ノ内センタービル１Ｆ,
273,藤野歯科医院,千代田区丸の内１−５−１新丸の内ビルディング１１Ｆ,
274,医療法人社団有秀会 名執歯科,千代田区内幸町１−１−１帝国ホテルタワー５Ｃ−４,
275,有楽町電気ビル高橋歯科,千代田区有楽町１−７−１有楽町電気ビル南館Ｂ１Ｆ,
276,バトラー歯科医院,千代田区丸の内２−４−１丸の内ビルディング１１Ｆ１１０４区,
277,高橋歯科医院,千代田区有楽町１−１２−１新有楽町ビルＢ１Ｆ,
278,丸の内歯科診療所,千代田区丸の内１−２−１東京海上日動ビル本館Ｂ１Ｆ,
279,新東京ビル歯科クリニック,千代田区丸の内３−３−１新東京ビル３３１,
280,番町オーラルサージャリーデンタルクリニック,千代田区二番町１１−２０二番町ビル２F,
281,花泉歯科医院,千代田区三番町７−２ヴィラロイヤル三番町１０１,
282,一番町矯正歯科,千代田区一番町８−１３日興ロイヤルパレス一番町　１Ｆ,
283,麹町えりデンタルクリニック,千代田区麹町３−７−８麹町山口ビル２０１,
284,半蔵門サニー歯科,千代田区一番町１９−１麹町サニーマンション１０９,
285,エスデンタルオフィス,千代田区九段南３−９−１４第３２荒井ビル１Ｆ,
286,医療法人社団峰瑛会 市ヶ谷番町歯科クリニック,千代田区五番町２横山ビル２F,
287,医療法人社団アークブレーンズ アーク歯科クリニック,千代田区五番町５−１第８田中ビル３F,
288,半蔵門ファミリア矯正歯科医院,千代田区麹町１−６−６プルミエ麹町ビル３Ｆ,
289,つげ歯科五番町クリニック,千代田区五番町６−４グレイス五番町ビル５０１号室,
290,デンタルサロン麹町,千代田区麹町２−４−２０鶴屋八幡ビル　２Ｆ,
291,日本歯科大学生命歯学部,千代田区富士見１−９−２０,
292,医療法人社団アークブレーンズ アーク歯科クリニック　番町オフィス,千代田区六番町１−５布江ビル１Ｆ,
293,医療法人社団 グリーンデンタルクリニック,千代田区五番町５−６ビラカーサ五番町１Ｆ,
294,熊谷歯科医院,千代田区九段南３−８−１３丸中ビル２Ｆ,
295,近藤歯科医院,千代田区九段南３−５−１４国総ビル１Ｆ,
296,平河町デンタルクリニック,千代田区平河町１−４−５平和第一ビル１Ｆ,
297,おくぞの歯科クリニック,千代田区平河町１−７−２０平河町辻田ビル１Ｆ,
298,歯科 矢田クリニック,千代田区二番町１１−９花ビル１Ｆ,
299,医療法人社団楽歯会 設楽歯科医院,千代田区麹町４−３−４宮ビル１Ｆ,
300,川名歯科,千代田区麹町２−１２−６ミツリ麹町ビル１Ｆ,
301,上條歯科医院,千代田区麹町３−４−７啓ビル８Ｆ,
302,飯田橋歯科クリニック,千代田区飯田橋４−５−１６飯田橋コアビル３Ｆ,
303,加島歯科医院,千代田区飯田橋２−４−１０加島ビル１Ｆ,
304,六川歯科医院,千代田区飯田橋１−１０−１六川ビル２Ｆ,
305,クボタデンタルオフィス,千代田区麹町２−６−５ＥＣＫビル７Ｆ,
306,掛田歯科医院,千代田区九段北１−４−５東英九段ビル４Ｆ,
307,岡口歯科クリニック,千代田区麹町２−１２−１グランアクス麹町２０１,
308,佐々木歯科医院,千代田区麹町４−４−６麹町４丁目小倉ビル７Ｆ,
309,九段北歯科,千代田区九段北４−１−５市ヶ谷法曹ビルＢ１,
310,まさる歯科,千代田区一番町９−７村上ビル,
311,九段セントラルビル歯科,千代田区飯田橋２−１−４九段セントラルビル９Ｆ,
312,大野歯科医院,千代田区九段南４−７−１６市ケ谷ＫＴビル２Ｆ,
313,米澤歯科,千代田区平河町１−８−９半蔵門ＫＰビル２Ｆ,
314,医療法人社団アイ・ケイ会 武田歯科医院,千代田区紀尾井町３−１２紀尾井町ビル２Ｆ Ｅ号,
315,医療法人社団恒成会 石塚歯科クリニック,千代田区麹町１−７,
316,愛知歯科医院,千代田区三番町６−２６住友不動産三番町ビル,
317,土屋歯科クリニック＆ワークス,千代田区平河町１−４−１２三信平河町ビル１Ｆ,
318,医療法人社団慧諒会 河野歯科医院,千代田区一番町１０−２一番町Ｍビル１Ｆ,
319,日本歯科大学,千代田区富士見１−９−２０,
320,清遠歯科医院,千代田区平河町１−２−１２シェーン平河町ビル１Ｆ,
321,プラスデントクリニック,千代田区隼町２−１２藤和半蔵門コ−プ２０４,
322,小林歯科クリニック,千代田区四番町８東郷パークビル５Ｆ,
323,市ヶ谷歯科クリニック,千代田区九段南４−８−２７重盛ビル,
324,麹町共栄歯科,千代田区麹町６−２麹町六丁目ビル三階,
325,関谷歯科医院,千代田区麹町４−４山崎ビル１Ｆ,
326,半蔵門歯科医院,千代田区麹町１−１０麹町広洋ビル２Ｆ,
327,こいで歯科医院,千代田区平河町１−７−１６ビュロー平河町１０２,
328,千代田歯科医院,千代田区麹町１−３ダイヤン麹町ビルB１F,
329,南部歯科医院,千代田区富士見２−６−９雄山閣ビル,
330,福田矯正歯科,千代田区二番町９−１０タワー麹町２Ｆ,
331,医療法人社団ＮＤＯ 初谷歯科医院,千代田区麹町５−３−１４ヒルトップハウス,
332,山田清歯科医院,千代田区九段北１−１２−４トクミヤビル１Ｆ,
333,医療法人社団聖会 大串歯科医院,千代田区二番町５麹町駅プラザ２階,
